time[s],v[m/s],w[rad/s],wp_x,wp_y,theta_wp[rad]
38.20,2.00,1.00,-52.00,-0.93,0.20
38.30,2.00,1.00,-51.83,-1.17,0.33
38.40,2.00,1.00,-51.59,-1.41,0.28
38.50,2.00,1.00,-51.36,-1.64,0.22
38.60,2.00,1.00,-51.14,-1.86,0.15
38.70,2.00,-1.57,-51.00,-2.06,-0.12
38.80,2.00,1.00,-51.00,-2.26,0.03
38.90,2.00,-1.57,-51.00,-2.46,-0.07
39.00,2.00,1.00,-51.00,-2.66,0.09
39.10,2.00,-1.57,-51.00,-2.86,-0.01
39.20,2.00,1.00,-51.00,-3.06,0.15
39.30,2.00,-1.32,-51.00,-3.25,0.05
39.40,2.00,1.00,-51.00,-3.45,0.19
39.50,2.00,-0.64,-51.00,-3.65,0.09
39.60,2.00,1.00,-51.00,-3.85,0.16
39.70,2.00,-0.23,-51.00,-4.05,0.06
39.80,2.00,1.00,-51.00,-4.25,0.09
39.90,2.00,-0.58,-51.00,-4.45,-0.01
40.00,2.00,1.00,-51.00,-4.65,0.05
40.10,2.00,-1.36,-51.00,-4.85,-0.05
40.20,2.00,1.00,-50.96,-5.04,0.29
40.30,2.00,0.89,-50.76,-5.24,0.22
40.40,2.00,1.00,-50.58,-5.42,0.15
40.50,2.00,1.00,-50.40,-5.60,0.08
40.60,2.00,0.95,-50.22,-5.78,-0.00
40.70,2.00,0.20,-50.05,-5.95,-0.08
40.80,2.00,-1.57,-50.00,-6.14,-0.30
40.90,2.00,1.00,-50.00,-6.33,-0.16
41.00,2.00,-1.57,-50.00,-6.53,-0.27
41.10,2.00,1.00,-50.00,-6.73,-0.12
41.20,2.00,-1.57,-50.00,-6.93,-0.23
41.30,2.00,1.00,-50.00,-7.13,-0.08
41.40,2.00,-1.57,-50.00,-7.33,-0.18
41.50,2.00,1.00,-50.00,-7.53,-0.03
41.60,2.00,-1.57,-50.00,-7.73,-0.14
41.70,2.00,1.00,-50.00,-7.93,0.01
41.80,2.00,1.00,-49.88,-8.12,0.13
41.90,2.00,1.00,-49.70,-8.30,0.05
42.00,2.00,0.50,-49.53,-8.47,-0.03
42.10,2.00,1.00,-49.36,-8.64,-0.07
42.20,2.00,-1.30,-49.19,-8.81,-0.15
42.30,2.00,1.00,-49.03,-8.97,-0.01
42.40,2.00,-1.57,-49.00,-9.17,-0.31
42.50,2.00,1.00,-49.00,-9.36,-0.17
42.60,2.00,-1.57,-49.00,-9.56,-0.28
42.70,2.00,1.00,-49.00,-9.76,-0.14
42.80,2.00,-1.57,-49.00,-9.96,-0.24
42.90,2.00,1.00,-49.00,-10.16,-0.10
43.00,2.00,-1.57,-49.00,-10.36,-0.20
43.10,2.00,1.00,-49.00,-10.56,-0.05
43.20,2.00,-1.57,-49.00,-10.76,-0.16
43.30,2.00,1.00,-49.00,-10.96,-0.01
43.40,2.00,1.00,-48.86,-11.14,0.11
43.50,2.00,0.95,-48.68,-11.32,0.03
43.60,2.00,0.22,-48.51,-11.49,-0.05
43.70,2.00,1.00,-48.34,-11.66,-0.06
43.80,2.00,-1.57,-48.17,-11.83,-0.14
43.90,2.00,1.00,-48.01,-11.99,0.02
44.00,2.00,-1.57,-48.00,-12.19,-0.28
44.10,2.00,1.00,-48.00,-12.39,-0.14
44.20,2.00,-1.57,-48.00,-12.59,-0.25
44.30,2.00,1.00,-48.00,-12.79,-0.10
44.40,2.00,-1.57,-48.00,-12.99,-0.21
44.50,2.00,1.00,-48.00,-13.19,-0.06
44.60,2.00,-1.57,-48.00,-13.40,-0.16
